 ---------- DISTRIBUTION EFFICIENCY -------------
 N_proc  Eff(%)
 ------  ------
      16  100.00 ***
      32  100.00 ***
      48   95.24 **
      64  100.00 ***
      80   94.12 **
      96   95.24 **
     112   87.91 *
     128  100.00 ***
     144   88.89 *
     160   88.89 *
     176   90.91 **
     192   83.33 *
     208   87.91 *
     224   81.63 *
     240   76.19
     256  100.00 ***
     272   94.12 **
     288   88.89 *
     304   84.21 *
     320   80.00 *
     336   76.19
     352   90.91 **
     368   86.96 *
     384   83.33 *
     400   80.00 *
     416   76.92
     432   74.07
     448   71.43
     464   68.97
     480   66.67
     496   64.52
     512   83.33 *
     528   80.81 *
     544   78.43
     560   76.19
     576   74.07
     592   72.07
     608   70.18
     624   68.38
     640   66.67
     656   65.04
     672   63.49
     688   62.02
     704   60.61
     720   59.26
     736   57.97
     752   56.74
     768   55.56
     784   54.42
     800   53.33
     816   52.29
     832   51.28
     848   50.31
     864   49.38
     880   48.48
     896   47.62
     912   46.78
     928   45.98
     944   45.20
     960   44.44
     976   43.72
     992   43.01
    1008   42.33
    1024   62.50
