----------------------------------------------------------------------------------- 
 => ion # 1
 r           dlntdr_s    dlnndr_s    tem_s       den_s       alpha_s     (null)      
----------------------------------------------------------------------------------- 
 3.7500E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.7695E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.7891E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.8086E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.8281E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.8477E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.8672E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.8867E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.9062E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.9258E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.9453E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.9648E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 3.9844E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.0039E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.0234E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.0430E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.0625E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.0820E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1016E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1211E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1406E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1602E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1797E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.1992E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.2188E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.2383E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.2578E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.2773E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
