 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------
 
n_theta =  101
 
 GEO_fluxsurfave_grad_r:   0.829000
 GEO_fluxsurfave_grad_r2:   0.783150
 GEO_volume:  18.173230
 GEO_volume_prime:  59.050503
 GEO_volume/circle_vol:   1.673862
 GEO_volume/circle_volp:   1.633715
 ffprime:  -0.130705
 f:   0.722796
 f/R0:   0.474267
 beta_star (beta_unit*dlnpdr):   0.138378
 
 
 theta       b           dbdt        dbdt2       g_theta     grad_r      
 
-3.1416E+00  8.3653E-01 -8.1743E-03 -2.7895E-01  8.9477E-01  7.7222E-01
-3.0788E+00  8.3546E-01 -2.6122E-02 -2.9471E-01  8.9870E-01  7.7067E-01
-3.0159E+00  8.3322E-01 -4.5468E-02 -3.2212E-01  9.0626E-01  7.6749E-01
-2.9531E+00  8.2971E-01 -6.6624E-02 -3.5056E-01  9.1645E-01  7.6261E-01
-2.8903E+00  8.2482E-01 -8.9299E-02 -3.6894E-01  9.2798E-01  7.5600E-01
-2.8274E+00  8.1848E-01 -1.1259E-01 -3.6951E-01  9.3958E-01  7.4777E-01
-2.7646E+00  8.1068E-01 -1.3529E-01 -3.5019E-01  9.5034E-01  7.3812E-01
-2.7018E+00  8.0151E-01 -1.5625E-01 -3.1519E-01  9.5994E-01  7.2729E-01
-2.6389E+00  7.9109E-01 -1.7476E-01 -2.7378E-01  9.6880E-01  7.1557E-01
-2.5761E+00  7.7960E-01 -1.9077E-01 -2.3760E-01  9.7808E-01  7.0309E-01
-2.5133E+00  7.6716E-01 -2.0496E-01 -2.1701E-01  9.8956E-01  6.8987E-01
-2.4504E+00  7.5385E-01 -2.1851E-01 -2.1744E-01  1.0053E+00  6.7566E-01
-2.3876E+00  7.3969E-01 -2.3271E-01 -2.3686E-01  1.0273E+00  6.6005E-01
-2.3248E+00  7.2458E-01 -2.4849E-01 -2.6576E-01  1.0570E+00  6.4257E-01
-2.2619E+00  7.0843E-01 -2.6601E-01 -2.9030E-01  1.0946E+00  6.2288E-01
-2.1991E+00  6.9113E-01 -2.8458E-01 -2.9707E-01  1.1395E+00  6.0102E-01
-2.1363E+00  6.7267E-01 -3.0276E-01 -2.7693E-01  1.1893E+00  5.7755E-01
-2.0735E+00  6.5313E-01 -3.1873E-01 -2.2638E-01  1.2405E+00  5.5359E-01
-2.0106E+00  6.3271E-01 -3.3060E-01 -1.4721E-01  1.2887E+00  5.3066E-01
-1.9478E+00  6.1171E-01 -3.3674E-01 -4.5565E-02  1.3290E+00  5.1056E-01
-1.8850E+00  5.9053E-01 -3.3604E-01  6.9167E-02  1.3567E+00  4.9521E-01
-1.8221E+00  5.6963E-01 -3.2801E-01  1.8594E-01  1.3683E+00  4.8645E-01
-1.7593E+00  5.4946E-01 -3.1287E-01  2.9392E-01  1.3614E+00  4.8587E-01
-1.6965E+00  5.3044E-01 -2.9145E-01  3.8421E-01  1.3358E+00  4.9468E-01
-1.6336E+00  5.1294E-01 -2.6509E-01  4.5066E-01  1.2929E+00  5.1346E-01
-1.5708E+00  4.9720E-01 -2.3540E-01  4.8998E-01  1.2359E+00  5.4217E-01
-1.5080E+00  4.8339E-01 -2.0412E-01  5.0122E-01  1.1691E+00  5.8007E-01
-1.4451E+00  4.7155E-01 -1.7299E-01  4.8548E-01  1.0972E+00  6.2588E-01
-1.3823E+00  4.6162E-01 -1.4362E-01  4.4597E-01  1.0246E+00  6.7789E-01
-1.3195E+00  4.5344E-01 -1.1733E-01  3.8850E-01  9.5507E-01  7.3409E-01
-1.2566E+00  4.4679E-01 -9.4999E-02  3.2157E-01  8.9141E-01  7.9240E-01
-1.1938E+00  4.4141E-01 -7.6903E-02  2.5523E-01  8.3529E-01  8.5089E-01
-1.1310E+00  4.3705E-01 -6.2713E-02  1.9843E-01  7.8734E-01  9.0805E-01
-1.0681E+00  4.3347E-01 -5.1645E-02  1.5625E-01  7.4736E-01  9.6292E-01
-1.0053E+00  4.3051E-01 -4.2761E-02  1.2853E-01  7.1454E-01  1.0151E+00
-9.4248E-01  4.2806E-01 -3.5275E-02  1.1095E-01  6.8772E-01  1.0647E+00
-8.7965E-01  4.2606E-01 -2.8732E-02  9.7649E-02  6.6566E-01  1.1119E+00
-8.1681E-01  4.2443E-01 -2.3025E-02  8.3775E-02  6.4719E-01  1.1569E+00
-7.5398E-01  4.2314E-01 -1.8276E-02  6.6949E-02  6.3137E-01  1.1996E+00
-6.9115E-01  4.2211E-01 -1.4675E-02  4.7431E-02  6.1752E-01  1.2396E+00
-6.2832E-01  4.2127E-01 -1.2328E-02  2.7420E-02  6.0528E-01  1.2764E+00
-5.6549E-01  4.2054E-01 -1.1175E-02  9.9207E-03  5.9449E-01  1.3095E+00
-5.0265E-01  4.1985E-01 -1.0969E-02 -2.4062E-03  5.8515E-01  1.3383E+00
