 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 4.535E-02 1.615E-02 2.863E-02 3.502E-03 7.184E-02 7.152E-02 4.948E-02 2.100E-03 2.898E-01
 0.000E+00 0.000E+00 4.498E-02 1.357E-02 2.776E-02 3.503E-03 7.236E-02 7.378E-02 4.768E-02 2.090E-03 2.870E-01
 0.000E+00 0.000E+00 4.590E-02 1.346E-02 2.894E-02 6.215E-03 7.539E-02 7.268E-02 4.884E-02 2.082E-03 2.948E-01
 0.000E+00 0.000E+00 4.658E-02 1.697E-02 2.684E-02 3.506E-03 7.070E-02 7.158E-02 4.658E-02 2.097E-03 2.861E-01
 0.000E+00 0.000E+00 4.483E-02 1.350E-02 2.859E-02 3.484E-03 7.075E-02 7.502E-02 4.960E-02 2.149E-03 2.892E-01
 0.000E+00 0.000E+00 4.531E-02 1.280E-02 2.680E-02 3.489E-03 7.126E-02 7.796E-02 4.766E-02 2.090E-03 2.886E-01
 0.000E+00 0.000E+00 4.646E-02 1.853E-02 2.736E-02 3.493E-03 7.127E-02 7.166E-02 4.689E-02 2.082E-03 2.890E-01
 0.000E+00 0.000E+00 4.508E-02 1.574E-02 2.690E-02 3.492E-03 7.190E-02 7.065E-02 5.112E-02 2.114E-03 2.883E-01
 0.000E+00 0.000E+00 4.513E-02 1.362E-02 2.687E-02 3.538E-03 7.124E-02 7.608E-02 4.978E-02 2.127E-03 2.896E-01
 0.000E+00 0.000E+00 4.514E-02 1.325E-02 3.147E-02 3.499E-03 7.100E-02 7.477E-02 4.787E-02 2.122E-03 2.904E-01
 0.000E+00 0.000E+00 4.709E-02 1.675E-02 2.693E-02 3.308E-03 7.140E-02 7.067E-02 4.704E-02 4.549E-02 3.300E-01
 0.000E+00 0.000E+00 4.506E-02 1.415E-02 3.025E-02 3.302E-03 7.216E-02 7.285E-02 5.051E-02 2.122E-03 2.916E-01
 0.000E+00 0.000E+00 4.537E-02 1.284E-02 3.218E-02 3.298E-03 7.216E-02 7.161E-02 4.753E-02 2.135E-03 2.884E-01
 0.000E+00 0.000E+00 4.502E-02 1.367E-02 2.869E-02 3.305E-03 7.289E-02 7.411E-02 4.784E-02 2.087E-03 2.888E-01
 0.000E+00 0.000E+00 4.634E-02 1.712E-02 2.685E-02 3.307E-03 7.107E-02 7.253E-02 4.655E-02 2.127E-03 2.872E-01
