 ---------- DISTRIBUTION EFFICIENCY -------------
 N_proc  Eff(%)
 ------  ------
       2  100.00 ***
       4  100.00 ***
       6   96.97 **
       8  100.00 ***
      10   98.46 **
      12   96.97 **
      14   91.43 **
      16  100.00 ***
      18   88.89 *
      20   91.43 **
      22   96.97 **
      24   88.89 *
      26   98.46 **
      28   91.43 **
      30   85.33 *
      32  100.00 ***
      34   94.12 **
      36   88.89 *
      38   84.21 *
      40   80.00 *
      42   76.19
      44   96.97 **
      46   92.75 **
      48   88.89 *
      50   85.33 *
      52   82.05 *
      54   79.01
      56   76.19
      58   73.56
      60   71.11
      62   68.82
      64  100.00 ***
      66   96.97 **
      68   94.12 **
      70   91.43 **
      72   88.89 *
      74   86.49 *
      76   84.21 *
      78   82.05 *
      80   80.00 *
      82   78.05
      84   76.19
      86   74.42
      88   72.73
      90   71.11
      92   69.57
      94   68.09
      96   66.67
      98   65.31
     100   64.00
     102   62.75
     104   61.54
     106   60.38
     108   59.26
     110   58.18
     112   57.14
     114   56.14
     116   55.17
     118   54.24
     120   53.33
     122   52.46
     124   51.61
     126   50.79
     128  100.00 ***
