psibar,psi[Wb],F[T.m],p[Pa],q,Te[eV],Ti[eV],ne[m^-3],ni[m^-3],A[m^2],V[m^3]
0.000000,1.522230e-01,1.974250e-01,1.942063e+03,2.5953,1.340844e+02,1.261272e+02,4.873013e+19,4.430012e+19,0.000000e+00,0.000000e+00
0.013081,1.507008e-01,1.971821e-01,1.903251e+03,2.57333,1.341210e+02,1.255934e+02,4.784251e+19,4.349319e+19,1.293851e-02,5.307841e-02
0.026161,1.491785e-01,1.969286e-01,1.862618e+03,2.55461,1.341396e+02,1.250385e+02,4.691290e+19,4.264809e+19,2.576936e-02,1.055468e-01
0.039242,1.476563e-01,1.966601e-01,1.822445e+03,2.53977,1.341445e+02,1.244643e+02,4.599707e+19,4.181551e+19,3.846073e-02,1.572837e-01
0.052323,1.461341e-01,1.963819e-01,1.782853e+03,2.52627,1.341559e+02,1.238862e+02,4.509151e+19,4.099228e+19,5.103822e-02,2.084087e-01
0.065404,1.446118e-01,1.961052e-01,1.744036e+03,2.51302,1.341947e+02,1.233186e+02,4.419519e+19,4.017745e+19,6.349192e-02,2.588844e-01
0.078484,1.430896e-01,1.958013e-01,1.705333e+03,2.49914,1.342078e+02,1.227267e+02,4.330674e+19,3.936976e+19,7.582996e-02,3.087499e-01
0.091565,1.415674e-01,1.955043e-01,1.667414e+03,2.48425,1.342580e+02,1.221526e+02,4.242517e+19,3.856834e+19,8.804657e-02,3.579891e-01
0.104646,1.400451e-01,1.951827e-01,1.629593e+03,2.46818,1.342850e+02,1.215582e+02,4.154973e+19,3.777249e+19,1.001355e-01,4.065828e-01
0.117726,1.385229e-01,1.948554e-01,1.592204e+03,2.45086,1.343216e+02,1.209626e+02,4.068036e+19,3.698215e+19,1.121005e-01,4.545530e-01
0.130807,1.370007e-01,1.945215e-01,1.555294e+03,2.43231,1.343667e+02,1.203704e+02,3.981758e+19,3.619780e+19,1.239352e-01,5.018840e-01
0.143888,1.354785e-01,1.941595e-01,1.518430e+03,2.41268,1.343781e+02,1.197504e+02,3.896206e+19,3.542006e+19,1.356389e-01,5.485763e-01
0.156969,1.339562e-01,1.937957e-01,1.482199e+03,2.39188,1.344078e+02,1.191413e+02,3.811448e+19,3.464953e+19,1.471951e-01,5.945647e-01
0.170049,1.324340e-01,1.934183e-01,1.446394e+03,2.37018,1.344320e+02,1.185287e+02,3.727539e+19,3.388672e+19,1.586188e-01,6.399246e-01
0.183130,1.309118e-01,1.930144e-01,1.410726e+03,2.34777,1.344203e+02,1.178903e+02,3.644514e+19,3.313194e+19,1.698976e-01,6.846053e-01
0.196211,1.293895e-01,1.925984e-01,1.375474e+03,2.3246,1.343994e+02,1.172438e+02,3.562417e+19,3.238561e+19,1.810321e-01,7.286195e-01
0.209292,1.278673e-01,1.921767e-01,1.340816e+03,2.30088,1.343835e+02,1.166049e+02,3.481265e+19,3.164786e+19,1.920241e-01,7.719770e-01
0.222372,1.263451e-01,1.917340e-01,1.306447e+03,2.27683,1.343379e+02,1.159498e+02,3.401074e+19,3.091885e+19,2.028739e-01,8.146833e-01
0.235453,1.248228e-01,1.912668e-01,1.272269e+03,2.25263,1.342516e+02,1.152703e+02,3.321838e+19,3.019852e+19,2.135788e-01,8.567353e-01
0.248534,1.233006e-01,1.907893e-01,1.238519e+03,2.22839,1.341495e+02,1.145835e+02,3.243569e+19,2.948699e+19,2.241436e-01,8.981601e-01
0.261614,1.217784e-01,1.903034e-01,1.205286e+03,2.20407,1.340385e+02,1.138989e+02,3.166264e+19,2.878422e+19,2.345690e-01,9.389579e-01
0.274695,1.202562e-01,1.897991e-01,1.172401e+03,2.17983,1.338978e+02,1.132019e+02,3.089925e+19,2.809023e+19,2.448614e-01,9.791678e-01
0.287776,1.187339e-01,1.892691e-01,1.139772e+03,2.15576,1.337093e+02,1.124800e+02,3.014643e+19,2.740584e+19,2.550111e-01,1.018744e+00
0.300857,1.172117e-01,1.887181e-01,1.107450e+03,2.13197,1.334835e+02,1.117405e+02,2.940334e+19,2.673031e+19,2.650380e-01,1.057783e+00
0.313937,1.156895e-01,1.881560e-01,1.075637e+03,2.10863,1.332350e+02,1.109943e+02,2.867155e+19,2.606505e+19,2.749309e-01,1.096225e+00
0.327018,1.141672e-01,1.875860e-01,1.044341e+03,2.08585,1.329671e+02,1.102444e+02,2.795048e+19,2.540953e+19,2.847003e-01,1.134129e+00
