 core    gcomm   worker  adjoint workeradj
    0       0       0       0       0
    1       0       0       1       1
    2       1       1       2       0
    3       1       1       3       1
    4       2       2       4       0
    5       2       2       5       1
    6       3       3       6       0
    7       3       3       7       1
    8       4       4       8       0
    9       4       4       9       1
   10       5       5      10       0
   11       5       5      11       1
   12       6       6      12       0
   13       6       6      13       1
   14       7       7      14       0
   15       7       7      15       1
   16       8       0       0       2
   17       8       0       1       3
   18       9       1       2       2
   19       9       1       3       3
   20      10       2       4       2
   21      10       2       5       3
   22      11       3       6       2
   23      11       3       7       3
   24      12       4       8       2
   25      12       4       9       3
   26      13       5      10       2
   27      13       5      11       3
   28      14       6      12       2
   29      14       6      13       3
   30      15       7      14       2
   31      15       7      15       3
   32      16       0       0       4
   33      16       0       1       5
   34      17       1       2       4
   35      17       1       3       5
   36      18       2       4       4
   37      18       2       5       5
   38      19       3       6       4
   39      19       3       7       5
   40      20       4       8       4
   41      20       4       9       5
   42      21       5      10       4
   43      21       5      11       5
   44      22       6      12       4
   45      22       6      13       5
   46      23       7      14       4
   47      23       7      15       5
   48      24       0       0       6
   49      24       0       1       7
   50      25       1       2       6
   51      25       1       3       7
   52      26       2       4       6
   53      26       2       5       7
   54      27       3       6       6
   55      27       3       7       7
   56      28       4       8       6
   57      28       4       9       7
   58      29       5      10       6
   59      29       5      11       7
   60      30       6      12       6
   61      30       6      13       7
   62      31       7      14       6
   63      31       7      15       7
   64      32       0       0       8
   65      32       0       1       9
   66      33       1       2       8
   67      33       1       3       9
   68      34       2       4       8
   69      34       2       5       9
   70      35       3       6       8
   71      35       3       7       9
   72      36       4       8       8
   73      36       4       9       9
   74      37       5      10       8
   75      37       5      11       9
   76      38       6      12       8
   77      38       6      13       9
   78      39       7      14       8
   79      39       7      15       9
   80      40       0       0      10
   81      40       0       1      11
   82      41       1       2      10
   83      41       1       3      11
   84      42       2       4      10
   85      42       2       5      11
   86      43       3       6      10
   87      43       3       7      11
   88      44       4       8      10
   89      44       4       9      11
   90      45       5      10      10
   91      45       5      11      11
   92      46       6      12      10
   93      46       6      13      11
   94      47       7      14      10
   95      47       7      15      11
   96      48       0       0      12
   97      48       0       1      13
   98      49       1       2      12
   99      49       1       3      13
  100      50       2       4      12
  101      50       2       5      13
  102      51       3       6      12
  103      51       3       7      13
  104      52       4       8      12
  105      52       4       9      13
  106      53       5      10      12
  107      53       5      11      13
  108      54       6      12      12
  109      54       6      13      13
  110      55       7      14      12
  111      55       7      15      13
  112      56       0       0      14
  113      56       0       1      15
  114      57       1       2      14
  115      57       1       3      15
  116      58       2       4      14
  117      58       2       5      15
  118      59       3       6      14
  119      59       3       7      15
  120      60       4       8      14
  121      60       4       9      15
  122      61       5      10      14
  123      61       5      11      15
  124      62       6      12      14
  125      62       6      13      15
  126      63       7      14      14
  127      63       7      15      15
