 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------

n_theta =  101

 ave1:           1.285167
 avegrad_r:      1.145478
 avegrad_r2:     1.033698
 ffprime:       -0.556266
 f:              2.190605
 beta_star:      0.015606


 theta       b           dbdt        dbdt2       jb          grad_r      

-3.1416E+00  8.3324E-01  1.4725E-16 -6.2811E-02  1.0537E+00  9.3853E-01
-3.0788E+00  8.3312E-01 -3.9433E-03 -6.2655E-02  1.0536E+00  9.3771E-01
-3.0159E+00  8.3275E-01 -7.8669E-03 -6.2187E-02  1.0533E+00  9.3526E-01
-2.9531E+00  8.3213E-01 -1.1751E-02 -6.1410E-02  1.0529E+00  9.3121E-01
-2.8903E+00  8.3127E-01 -1.5578E-02 -6.0331E-02  1.0523E+00  9.2563E-01
-2.8274E+00  8.3017E-01 -1.9327E-02 -5.8958E-02  1.0515E+00  9.1860E-01
-2.7646E+00  8.2884E-01 -2.2981E-02 -5.7301E-02  1.0506E+00  9.1021E-01
-2.7018E+00  8.2729E-01 -2.6522E-02 -5.5372E-02  1.0495E+00  9.0061E-01
-2.6389E+00  8.2551E-01 -2.9933E-02 -5.3186E-02  1.0482E+00  8.8994E-01
-2.5761E+00  8.2353E-01 -3.3200E-02 -5.0757E-02  1.0467E+00  8.7838E-01
-2.5133E+00  8.2134E-01 -3.6307E-02 -4.8104E-02  1.0451E+00  8.6613E-01
-2.4504E+00  8.1897E-01 -3.9241E-02 -4.5244E-02  1.0432E+00  8.5341E-01
-2.3876E+00  8.1642E-01 -4.1989E-02 -4.2198E-02  1.0412E+00  8.4046E-01
-2.3248E+00  8.1370E-01 -4.4540E-02 -3.8986E-02  1.0391E+00  8.2754E-01
-2.2619E+00  8.1082E-01 -4.6885E-02 -3.5629E-02  1.0367E+00  8.1492E-01
-2.1991E+00  8.0781E-01 -4.9015E-02 -3.2148E-02  1.0342E+00  8.0289E-01
-2.1363E+00  8.0467E-01 -5.0923E-02 -2.8564E-02  1.0315E+00  7.9173E-01
-2.0735E+00  8.0142E-01 -5.2603E-02 -2.4900E-02  1.0286E+00  7.8174E-01
-2.0106E+00  7.9806E-01 -5.4050E-02 -2.1176E-02  1.0255E+00  7.7318E-01
-1.9478E+00  7.9463E-01 -5.5263E-02 -1.7413E-02  1.0223E+00  7.6630E-01
-1.8850E+00  7.9113E-01 -5.6238E-02 -1.3632E-02  1.0190E+00  7.6134E-01
-1.8221E+00  7.8757E-01 -5.6976E-02 -9.8503E-03  1.0155E+00  7.5847E-01
-1.7593E+00  7.8397E-01 -5.7476E-02 -6.0873E-03  1.0119E+00  7.5782E-01
-1.6965E+00  7.8035E-01 -5.7741E-02 -2.3598E-03  1.0081E+00  7.5946E-01
-1.6336E+00  7.7672E-01 -5.7774E-02  1.3163E-03  1.0043E+00  7.6341E-01
-1.5708E+00  7.7309E-01 -5.7577E-02  4.9264E-03  1.0003E+00  7.6962E-01
-1.5080E+00  7.6949E-01 -5.7157E-02  8.4573E-03  9.9626E-01  7.7798E-01
-1.4451E+00  7.6592E-01 -5.6517E-02  1.1897E-02  9.9214E-01  7.8834E-01
-1.3823E+00  7.6239E-01 -5.5664E-02  1.5235E-02  9.8797E-01  8.0050E-01
-1.3195E+00  7.5893E-01 -5.4604E-02  1.8462E-02  9.8377E-01  8.1422E-01
-1.2566E+00  7.5553E-01 -5.3346E-02  2.1570E-02  9.7954E-01  8.2926E-01
-1.1938E+00  7.5223E-01 -5.1896E-02  2.4552E-02  9.7532E-01  8.4534E-01
-1.1310E+00  7.4902E-01 -5.0264E-02  2.7403E-02  9.7113E-01  8.6219E-01
-1.0681E+00  7.4591E-01 -4.8456E-02  3.0116E-02  9.6697E-01  8.7956E-01
-1.0053E+00  7.4293E-01 -4.6482E-02  3.2689E-02  9.6289E-01  8.9717E-01
-9.4248E-01  7.4008E-01 -4.4351E-02  3.5118E-02  9.5890E-01  9.1479E-01
-8.7965E-01  7.3736E-01 -4.2072E-02  3.7401E-02  9.5501E-01  9.3219E-01
-8.1681E-01  7.3479E-01 -3.9654E-02  3.9534E-02  9.5127E-01  9.4915E-01
