 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  7.020559E-04  2.730545E-02  1.118353E-05  3.971970E-03  4.604709E-03
 2.125000E-01  9.039773E-04  3.498045E-02  1.432700E-05  3.587413E-03  4.165951E-03
 4.250000E-01  1.665249E-03  6.749825E-02  2.764511E-05  2.827789E-03  3.233438E-03
 6.375000E-01  3.074287E-03  1.574368E-01  6.447764E-05  2.170106E-03  2.295351E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  1.089171E-03  9.303955E-03  3.811369E-06  2.921462E-03  5.613475E-03
 2.125000E-01  1.177168E-03  1.179212E-02  4.830587E-06  2.799966E-03  5.101802E-03
 4.250000E-01  1.667559E-03  2.454789E-02  1.005557E-05  2.495205E-03  3.998994E-03
 6.375000E-01  2.672088E-03  8.118763E-02  3.325366E-05  2.118412E-03  2.666569E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
