 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 1.506E-01 2.851E-02 1.387E-01 1.038E-02 1.590E-01 2.419E-01 2.336E-01 1.295E+09 9.778E-01
 0.000E+00 0.000E+00 1.666E-01 2.994E-02 1.532E-01 1.695E-03 2.098E-01 2.055E-01 1.941E-01 1.121E-02 9.735E-01
 0.000E+00 0.000E+00 1.833E-01 3.409E-02 1.595E-01 1.748E-03 2.009E-01 2.505E-01 1.439E-01 3.546E-03 9.790E-01
 0.000E+00 0.000E+00 1.720E-01 3.567E-02 1.230E-01 1.762E-03 1.760E-01 2.256E-01 1.836E-01 1.153E-02 9.306E-01
 0.000E+00 0.000E+00 1.715E-01 4.435E-02 1.670E-01 1.755E-03 1.624E-01 1.819E-01 1.974E-01 7.581E-03 9.353E-01
 0.000E+00 0.000E+00 1.488E-01 4.405E-02 2.001E-01 1.728E-03 1.490E-01 1.933E-01 1.848E-01 3.495E-03 9.267E-01
 0.000E+00 0.000E+00 1.908E-01 4.389E-02 1.437E-01 1.675E-03 1.812E-01 1.895E-01 1.678E-01 1.156E-02 9.314E-01
 0.000E+00 0.000E+00 1.563E-01 2.808E-02 1.403E-01 1.770E-03 1.708E-01 2.164E-01 2.250E-01 4.070E-03 9.442E-01
 0.000E+00 0.000E+00 1.617E-01 4.368E-02 1.207E-01 1.722E-03 1.833E-01 1.729E-01 2.138E-01 1.159E-02 9.107E-01
 0.000E+00 0.000E+00 1.605E-01 3.542E-02 1.446E-01 1.692E-03 1.564E-01 2.149E-01 2.079E-01 3.000E-03 9.259E-01
