 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  5.706793E-01
 1.050000E-01  4.487021E-01  4.487021E-01  7.447714E-01  8.725478E-01  1.264393E+00  3.543521E-02  1.388335E+00
 2.100000E-01  8.130097E-01  8.130097E-01  1.367462E+00  1.491384E+00  2.248798E+00  7.447170E-02  1.549606E+00
 3.150000E-01  1.090338E+00  1.090338E+00  1.874990E+00  1.806386E+00  2.927571E+00  8.144617E-02  1.160946E+00
 4.200000E-01  1.251608E+00  1.251608E+00  2.152003E+00  2.093381E+00  3.371191E+00  7.552384E-02  8.321334E-01
 5.250000E-01  1.205817E+00  1.205817E+00  1.963112E+00  2.480062E+00  3.452323E+00  6.171539E-02  5.824117E-01
 6.300000E-01  1.057943E+00  1.057943E+00  1.872856E+00  3.052526E+00  3.550964E+00  5.009208E-02  4.435470E-01
 7.350000E-01  1.015080E+00  1.015080E+00  2.263257E+00  3.987597E+00  4.119595E+00  5.250572E-02  4.769950E-01
 8.400000E-01  1.220644E+00  1.220644E+00  3.120284E+00  5.804933E+00  5.500960E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  5.770423E-01
 1.050000E-01  4.487021E-01  4.487021E-01  7.447714E-01  5.993054E-03  8.013985E-01  3.497949E-02  1.370480E+00
 2.100000E-01  8.130097E-01  8.130097E-01  1.367462E+00  5.993054E-03  1.420706E+00  6.902895E-02  1.436353E+00
 3.150000E-01  1.090338E+00  1.090338E+00  1.874990E+00  1.806386E+00  2.925780E+00  7.252016E-02  1.033713E+00
 4.200000E-01  1.251608E+00  1.251608E+00  2.152003E+00  2.093381E+00  3.369722E+00  6.727423E-02  7.412379E-01
 5.250000E-01  1.205817E+00  1.205817E+00  1.963112E+00  2.480062E+00  3.464742E+00  5.500797E-02  5.191133E-01
 6.300000E-01  6.976046E-01  6.976046E-01  1.872856E+00  3.052526E+00  3.219629E+00  4.469636E-02  3.957698E-01
 7.350000E-01  5.993054E-03  5.993054E-03  2.263257E+00  3.987597E+00  3.152715E+00  4.696099E-02  4.266232E-01
 8.400000E-01  1.220644E+00  1.220644E+00  5.382489E+00  9.804933E+00  8.514062E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  6.220348E-01
