 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  7.654378E-04  3.290835E-02  1.347803E-05  3.922092E-03  4.397520E-03
 1.050000E-01  8.114120E-04  3.529722E-02  1.445639E-05  3.847268E-03  4.296764E-03
 2.100000E-01  9.504420E-04  4.227360E-02  1.731356E-05  3.590387E-03  3.980297E-03
 3.150000E-01  1.203737E-03  5.386732E-02  2.206185E-05  3.260840E-03  3.607616E-03
 4.200000E-01  1.609876E-03  7.088237E-02  2.903062E-05  2.885749E-03  3.209953E-03
 5.250000E-01  2.186010E-03  9.911111E-02  4.059174E-05  2.528352E-03  2.785070E-03
 6.300000E-01  2.973909E-03  1.544319E-01  6.324678E-05  2.204112E-03  2.320524E-03
 7.350000E-01  4.326196E-03  2.819553E-01  1.154664E-04  1.857551E-03  1.813029E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  5.590577E-04  2.985883E-02  1.222845E-05  4.169740E-03  4.349029E-03
 1.050000E-01  5.795254E-04  2.920263E-02  1.195987E-05  4.093149E-03  4.352744E-03
 2.100000E-01  6.420203E-04  2.742005E-02  1.123025E-05  3.821436E-03  4.294133E-03
 3.150000E-01  7.843328E-04  2.993025E-02  1.225862E-05  3.472803E-03  4.051653E-03
 4.200000E-01  1.045776E-03  3.950914E-02  1.618190E-05  3.078446E-03  3.603579E-03
 5.250000E-01  1.417498E-03  5.552088E-02  2.273972E-05  2.701635E-03  3.124670E-03
 6.300000E-01  1.975961E-03  8.845815E-02  3.622884E-05  2.350972E-03  2.600656E-03
 7.350000E-01  3.101821E-03  1.745401E-01  7.148055E-05  1.977630E-03  2.027095E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  6.365258E-04  4.061519E-02  1.663284E-05  4.104441E-03  4.034458E-03
 1.050000E-01  6.225413E-04  3.972287E-02  1.626741E-05  4.107947E-03  4.037904E-03
 2.100000E-01  6.507081E-04  3.729886E-02  1.527517E-05  3.910354E-03  3.983533E-03
 3.150000E-01  7.949246E-04  4.071231E-02  1.667357E-05  3.553610E-03  3.758592E-03
 4.200000E-01  1.047824E-03  5.401389E-02  2.212115E-05  3.167457E-03  3.342928E-03
 5.250000E-01  1.366174E-03  7.348345E-02  3.009451E-05  2.817495E-03  2.931730E-03
 6.300000E-01  1.794234E-03  1.010453E-01  4.138173E-05  2.471448E-03  2.532569E-03
 7.350000E-01  2.939741E-03  1.786548E-01  7.316417E-05  2.027669E-03  2.025741E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  6.323304E-04  3.151027E-02  1.290500E-05  4.098876E-03  4.375061E-03
 1.050000E-01  6.601557E-04  3.081781E-02  1.262159E-05  4.014068E-03  4.378798E-03
 2.100000E-01  7.621547E-04  3.278155E-02  1.342610E-05  3.731881E-03  4.183641E-03
 3.150000E-01  9.670937E-04  4.064608E-02  1.664720E-05  3.385198E-03  3.824337E-03
 4.200000E-01  1.288420E-03  5.432706E-02  2.225043E-05  3.015180E-03  3.402638E-03
 5.250000E-01  1.717692E-03  7.625768E-02  3.123208E-05  2.675863E-03  2.968291E-03
 6.300000E-01  2.319090E-03  1.122697E-01  4.598024E-05  2.341295E-03  2.523267E-03
 7.350000E-01  3.384759E-03  1.922752E-01  7.874353E-05  1.968298E-03  2.011165E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  5.607344E-04  3.178868E-02  1.301860E-05  4.292641E-03  4.389094E-03
 1.050000E-01  6.172728E-04  3.109011E-02  1.273289E-05  4.130209E-03  4.392843E-03
 2.100000E-01  7.514346E-04  3.307118E-02  1.354465E-05  3.772616E-03  4.197060E-03
 3.150000E-01  9.808427E-04  4.404738E-02  1.803999E-05  3.410855E-03  3.769164E-03
 4.200000E-01  1.355850E-03  6.343793E-02  2.598132E-05  3.022456E-03  3.294602E-03
 5.250000E-01  1.837214E-03  9.001787E-02  3.686687E-05  2.673969E-03  2.870266E-03
 6.300000E-01  2.471086E-03  1.314350E-01  5.382822E-05  2.342699E-03  2.446795E-03
 7.350000E-01  3.474344E-03  2.072964E-01  8.489416E-05  1.974290E-03  1.984541E-03
 8.400000E-01  7.283111E-03  6.649971E-01  2.723003E-04  1.448926E-03  1.263865E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  5.042058E-04  2.470369E-02  1.011741E-05  4.357684E-03  4.677636E-03
 1.050000E-01  5.550413E-04  2.416068E-02  9.895286E-06  4.192790E-03  4.681632E-03
 2.100000E-01  7.139294E-04  2.906507E-02  1.190411E-05  3.795188E-03  4.333279E-03
 3.150000E-01  9.882430E-04  4.331093E-02  1.773847E-05  3.393359E-03  3.780425E-03
