 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  3.442900E+13  3.442900E+13  1.893600E+00  2.380500E+00  7.954631E-01  4.611914E-03  6.966342E-01
 1.050000E-01  3.359759E+13  3.359759E+13  1.818358E+00  2.268075E+00  8.017185E-01  4.296673E-03  6.206817E-01
 2.100000E-01  3.142287E+13  3.142287E+13  1.626143E+00  1.998514E+00  8.136763E-01  3.448402E-03  4.878499E-01
 3.150000E-01  2.840822E+13  2.840822E+13  1.369931E+00  1.676796E+00  8.169930E-01  2.561096E-03  3.827059E-01
 4.200000E-01  2.508473E+13  2.508473E+13  1.105189E+00  1.367467E+00  8.082017E-01  1.790391E-03  3.127654E-01
 5.250000E-01  2.199362E+13  2.199362E+13  8.875196E-01  1.076900E+00  8.241432E-01  1.181708E-03  2.734626E-01
 6.300000E-01  1.953988E+13  1.953988E+13  7.282273E-01  8.071821E-01  9.021847E-01  7.288447E-04  2.579016E-01
 7.350000E-01  1.755136E+13  1.755136E+13  5.882754E-01  5.604137E-01  1.049716E+00  3.996332E-04  2.577988E-01
 8.400000E-01  1.566220E+13  1.566220E+13  4.463367E-01  3.396030E-01  1.314290E+00  1.732986E-04  2.568588E-01
 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  2.979101E+13  2.979101E+13  2.140279E+00  2.328290E+00  9.192494E-01  3.903112E-03  7.085432E-01
 1.050000E-01  2.909743E+13  2.909743E+13  2.058208E+00  2.327558E+00  8.842781E-01  3.818757E-03  6.058975E-01
 2.100000E-01  2.723247E+13  2.723247E+13  1.842169E+00  2.326094E+00  7.919582E-01  3.478397E-03  4.576538E-01
 3.150000E-01  2.464279E+13  2.464279E+13  1.553818E+00  2.114970E+00  7.346761E-01  2.802177E-03  3.455354E-01
 4.200000E-01  2.179176E+13  2.179176E+13  1.257716E+00  1.723406E+00  7.297852E-01  1.960206E-03  2.827947E-01
 5.250000E-01  1.915411E+13  1.915411E+13  1.013342E+00  1.355536E+00  7.475585E-01  1.295422E-03  2.468882E-01
 6.300000E-01  1.733257E+13  1.733257E+13  8.285036E-01  1.013831E+00  8.172010E-01  8.120264E-04  2.323685E-01
 7.350000E-01  1.670401E+13  1.670401E+13  6.667900E-01  7.005635E-01  9.517911E-01  4.754559E-04  2.312557E-01
 8.400000E-01  1.566220E+13  1.566220E+13  4.463367E-01  3.396030E-01  1.314290E+00  1.732986E-04  2.568588E-01
 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  3.030670E+13  3.030670E+13  2.073770E+00  2.003655E+00  1.034993E+00  3.417041E-03  7.637890E-01
 1.050000E-01  2.960111E+13  2.960111E+13  2.073118E+00  2.003025E+00  1.034993E+00  3.343192E-03  6.531399E-01
 2.100000E-01  2.770387E+13  2.770387E+13  1.928895E+00  2.001765E+00  9.635970E-01  3.045218E-03  4.933375E-01
 3.150000E-01  2.506936E+13  2.506936E+13  1.626968E+00  1.820078E+00  8.939003E-01  2.453210E-03  3.724771E-01
 4.200000E-01  2.228685E+13  2.228685E+13  1.331499E+00  1.483111E+00  8.977748E-01  1.725217E-03  3.048445E-01
 5.250000E-01  1.982626E+13  1.982626E+13  1.102120E+00  1.193303E+00  9.235877E-01  1.180402E-03  2.631361E-01
 6.300000E-01  1.788389E+13  1.788389E+13  9.155934E-01  9.614399E-01  9.523147E-01  7.945583E-04  2.386157E-01
 7.350000E-01  1.706556E+13  1.706556E+13  7.009600E-01  6.996276E-01  1.001904E+00  4.850980E-04  2.314103E-01
 8.400000E-01  1.566220E+13  1.566220E+13  4.463367E-01  3.396030E-01  1.314290E+00  1.732986E-04  2.568588E-01
 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  3.225339E+13  3.225339E+13  2.068150E+00  2.356247E+00  8.777307E-01  4.276463E-03  7.043273E-01
 1.050000E-01  3.150248E+13  3.150248E+13  1.979446E+00  2.355506E+00  8.403487E-01  4.184040E-03  6.022923E-01
 2.100000E-01  2.950042E+13  2.950042E+13  1.756839E+00  2.207929E+00  7.956953E-01  3.576664E-03  4.697406E-01
 3.150000E-01  2.682484E+13  2.682484E+13  1.476413E+00  1.884308E+00  7.835306E-01  2.717631E-03  3.660738E-01
 4.200000E-01  2.406556E+13  2.406556E+13  1.206552E+00  1.536565E+00  7.852267E-01  1.930050E-03  2.994950E-01
 5.250000E-01  2.164671E+13  2.164671E+13  9.941014E-01  1.223252E+00  8.126709E-01  1.321132E-03  2.598950E-01
 6.300000E-01  1.964864E+13  1.964864E+13  8.216971E-01  9.543902E-01  8.609656E-01  8.665628E-04  2.394954E-01
