 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.320929E-02  0.000000E+00
 1.062500E-01  4.089208E-03  3.474014E-04  5.864817E-03  9.801990E-04
 1.593750E-01  2.650009E-03  7.254065E-03  3.774166E-03  2.287375E-02
 2.125000E-01  2.032857E-03  3.106262E-02  2.876984E-03  5.365248E-02
 2.656250E-01  1.715666E-03  3.396119E-02  2.410435E-03  9.243706E-02
 3.187500E-01  1.557208E-03  3.313317E-02  2.164566E-03  1.785869E-01
 3.718750E-01  1.511296E-03  5.156331E-02  2.076396E-03  3.768553E-01
 4.250000E-01  1.564555E-03  1.288408E-01  2.128821E-03  7.191967E-01
 4.781250E-01  1.711008E-03  2.497275E-01  2.284864E-03  1.025224E+00
 5.312500E-01  1.973942E-03  2.249557E-01  2.489634E-03  1.440868E+00
 5.843750E-01  2.425470E-03  4.494342E-02  2.831570E-03  1.799398E+00
 6.375000E-01  3.217327E-03 -3.105828E-01  3.404312E-03  2.230765E+00
 6.906250E-01  4.704429E-03 -7.570114E-01  4.379943E-03  2.771733E+00
 7.437500E-01  7.735011E-03 -1.076681E+00  6.241159E-03  3.326435E+00
 7.968750E-01  1.434873E-02 -1.524576E+00  1.013165E-02  4.184627E+00
 8.500000E-01  3.023501E-02 -1.903463E+00  1.924643E-02  5.726406E+00
 r/a           De_neo        De_tur        chie_neo      chie_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.467599E-01  0.000000E+00  6.996468E-03  0.000000E+00
 1.062500E-01  5.568565E-03 -6.355079E-04  3.580995E-03  2.472861E-04
 1.593750E-01  2.261741E-03  1.019702E-02  3.548190E-03  2.718763E-02
 2.125000E-01  1.811749E-03  9.771296E-03  2.343951E-03  5.205341E-02
 2.656250E-01  1.491081E-03  3.706142E-02  2.155184E-03  9.291310E-02
 3.187500E-01  1.354915E-03  3.358577E-02  1.890277E-03  1.953041E-01
 3.718750E-01  1.317587E-03  3.281512E-02  1.782804E-03  3.748426E-01
 4.250000E-01  1.374849E-03  7.955591E-03  1.766760E-03  5.858726E-01
 4.781250E-01  1.511582E-03  1.292100E-01  1.943229E-03  9.196540E-01
 5.312500E-01  1.757277E-03  7.500310E-02  2.119551E-03  1.318495E+00
 5.843750E-01  2.176323E-03 -1.575847E-01  2.433716E-03  1.743865E+00
 6.375000E-01  2.930121E-03 -5.737850E-01  2.929069E-03  2.144053E+00
 6.906250E-01  4.372900E-03 -1.145218E+00  3.801875E-03  2.669655E+00
 7.437500E-01  8.886044E-03 -3.415634E+00  4.919448E-03  2.834024E+00
 7.968750E-01  1.489517E-02 -2.502224E+00  8.980221E-03  3.895565E+00
 8.500000E-01  3.360311E-02 -3.253922E+00  1.871758E-02  7.178199E+00
