 r/a           pflux_i_neo   pflux_i_tur   eflux_i_neo   eflux_i_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  2.181047E-03  0.000000E+00  5.034335E-02  0.000000E+00
 1.062500E-01  1.907787E-03  1.620773E-04  4.784885E-02  5.447543E-03
 1.593750E-01  1.755941E-03  4.806666E-03  4.678941E-02  1.122174E-01
 2.125000E-01  1.700456E-03  2.598343E-02  4.732685E-02  2.891519E-01
 2.656250E-01  1.692934E-03  3.351122E-02  4.843541E-02  6.350041E-01
 3.187500E-01  1.723825E-03  3.667832E-02  4.996542E-02  1.090346E+00
 3.718750E-01  1.803156E-03  6.152118E-02  5.163298E-02  1.722062E+00
 4.250000E-01  1.927671E-03  1.587434E-01  5.268982E-02  2.386351E+00
 4.781250E-01  2.066818E-03  3.016592E-01  5.466190E-02  3.062099E+00
 5.312500E-01  2.224460E-03  2.535054E-01  5.942127E-02  4.297589E+00
 5.843750E-01  2.533963E-03  4.695377E-02  6.914606E-02  6.155946E+00
 6.375000E-01  3.171853E-03 -3.061930E-01  8.901045E-02  7.798859E+00
 6.906250E-01  4.503065E-03 -7.246089E-01  1.314813E-01  9.812627E+00
 7.437500E-01  7.550934E-03 -1.051058E+00  2.303384E-01  1.344937E+01
 7.968750E-01  1.526873E-02 -1.622327E+00  4.836631E-01  2.164059E+01
 8.500000E-01  3.814042E-02 -2.401153E+00  1.283551E+00  4.021387E+01
 r/a           pflux_i_neo   pflux_i_tur   eflux_i_neo   eflux_i_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.795401E-04  0.000000E+00  4.341374E-02  0.000000E+00
 1.062500E-01  8.955814E-04 -1.022075E-04  4.156603E-02  3.799330E-03
 1.593750E-01  1.717031E-03  7.741201E-03  4.183552E-02  1.221098E-01
 2.125000E-01  1.303066E-03  7.027817E-03  4.178454E-02  3.189140E-01
 2.656250E-01  1.527540E-03  3.796762E-02  4.306732E-02  6.138849E-01
 3.187500E-01  1.491537E-03  3.697237E-02  4.427621E-02  1.171084E+00
 3.718750E-01  1.508948E-03  3.758107E-02  4.570783E-02  1.883193E+00
 4.250000E-01  1.503965E-03  8.702726E-03  4.662755E-02  2.647461E+00
 4.781250E-01  1.682061E-03  1.437825E-01  4.869040E-02  3.249034E+00
 5.312500E-01  1.798685E-03  7.677047E-02  5.317261E-02  4.945345E+00
 5.843750E-01  2.069234E-03 -1.498305E-01  6.222407E-02  6.754370E+00
 6.375000E-01  2.568820E-03 -5.030340E-01  8.056089E-02  8.412983E+00
 6.906250E-01  3.675023E-03 -9.624509E-01  1.199473E-01  1.019973E+01
 7.437500E-01  4.916417E-03 -1.889781E+00  2.108399E-01  1.312153E+01
 7.968750E-01  1.275559E-02 -2.142798E+00  4.549132E-01  2.135631E+01
 8.500000E-01  4.238917E-02 -4.104711E+00  1.668319E+00  7.781723E+01
