 r/a           p_alpha       p_brem        p_exch        p_i_aux       p_e_aux       p_i           p_e
               (MW)          (MW)          (MW)          (MW)          (MW)          (MW)          (MW)
 0.000000E+00  0.000000E+00 -0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.482074E-06 -4.291697E-05  1.304146E-03  0.000000E+00  0.000000E+00  1.886218E-02  8.696829E-03
 1.062500E-01  5.355287E-06 -1.673270E-04  5.138590E-03  0.000000E+00  0.000000E+00  7.244928E-02  3.383409E-02
 1.593750E-01  1.028308E-05 -3.611365E-04  1.147423E-02  0.000000E+00  0.000000E+00  1.542163E-01  7.346448E-02
 2.125000E-01  1.492705E-05 -6.067650E-04  2.016823E-02  0.000000E+00  0.000000E+00  2.547115E-01  1.249081E-01
 2.656250E-01  1.849232E-05 -8.842812E-04  3.095460E-02  0.000000E+00  0.000000E+00  3.649170E-01  1.862317E-01
 3.187500E-01  2.082113E-05 -1.174680E-03  4.349433E-02  0.000000E+00  0.000000E+00  4.782871E-01  2.573867E-01
 3.718750E-01  2.215827E-05 -1.462472E-03  5.731137E-02  0.000000E+00  0.000000E+00  5.900330E-01  3.396058E-01
 4.250000E-01  2.286030E-05 -1.737096E-03  7.181261E-02  0.000000E+00  0.000000E+00  6.965648E-01  4.341022E-01
 4.781250E-01  2.321508E-05 -1.993085E-03  8.626314E-02  0.000000E+00  0.000000E+00  7.944391E-01  5.405880E-01
 5.312500E-01  2.339507E-05 -2.229155E-03  1.000045E-01  0.000000E+00  0.000000E+00  8.811852E-01  6.572205E-01
 5.843750E-01  2.348787E-05 -2.446298E-03  1.123354E-01  0.000000E+00  0.000000E+00  9.555230E-01  7.796893E-01
 6.375000E-01  2.353634E-05 -2.645946E-03  1.223223E-01  0.000000E+00  0.000000E+00  1.017348E+00  9.033190E-01
 6.906250E-01  2.356149E-05 -2.828929E-03  1.285434E-01  0.000000E+00  0.000000E+00  1.066595E+00  1.025441E+00
 7.437500E-01  2.357397E-05 -2.995048E-03  1.286389E-01  0.000000E+00  0.000000E+00  1.101777E+00  1.144366E+00
 7.968750E-01  2.357957E-05 -3.143338E-03  1.186961E-01  0.000000E+00  0.000000E+00  1.119121E+00  1.259351E+00
 8.500000E-01  2.358169E-05 -3.272304E-03  9.193072E-02  0.000000E+00  0.000000E+00  1.111679E+00  1.371763E+00
 r/a           p_alpha       p_brem        p_exch        p_i_aux       p_e_aux       p_i           p_e
               (MW)          (MW)          (MW)          (MW)          (MW)          (MW)          (MW)
 0.000000E+00  0.000000E+00 -0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.426416E-06 -3.625781E-05  1.304146E-03  0.000000E+00  0.000000E+00  1.886218E-02  8.696829E-03
 1.062500E-01  5.228370E-06 -1.434038E-04  5.138590E-03  0.000000E+00  0.000000E+00  7.244928E-02  3.383409E-02
 1.593750E-01  1.016133E-05 -3.131025E-04  1.147423E-02  0.000000E+00  0.000000E+00  1.542163E-01  7.346448E-02
 2.125000E-01  1.485770E-05 -5.293692E-04  2.016823E-02  0.000000E+00  0.000000E+00  2.547115E-01  1.249081E-01
 2.656250E-01  1.849285E-05 -7.744638E-04  3.095460E-02  0.000000E+00  0.000000E+00  3.649170E-01  1.862317E-01
 3.187500E-01  2.088925E-05 -1.031359E-03  4.349433E-02  0.000000E+00  0.000000E+00  4.782871E-01  2.573867E-01
 3.718750E-01  2.227832E-05 -1.286251E-03  5.731137E-02  0.000000E+00  0.000000E+00  5.900330E-01  3.396058E-01
 4.250000E-01  2.302021E-05 -1.531222E-03  7.181261E-02  0.000000E+00  0.000000E+00  6.965648E-01  4.341022E-01
 4.781250E-01  2.340343E-05 -1.762345E-03  8.626314E-02  0.000000E+00  0.000000E+00  7.944391E-01  5.405880E-01
 5.312500E-01  2.360151E-05 -1.978062E-03  1.000045E-01  0.000000E+00  0.000000E+00  8.811852E-01  6.572205E-01
 5.843750E-01  2.370525E-05 -2.178544E-03  1.123354E-01  0.000000E+00  0.000000E+00  9.555230E-01  7.796893E-01
 6.375000E-01  2.376022E-05 -2.364723E-03  1.223223E-01  0.000000E+00  0.000000E+00  1.017348E+00  9.033190E-01
 6.906250E-01  2.378911E-05 -2.537152E-03  1.285434E-01  0.000000E+00  0.000000E+00  1.066595E+00  1.025441E+00
 7.437500E-01  2.380370E-05 -2.696663E-03  1.286389E-01  0.000000E+00  0.000000E+00  1.101777E+00  1.144366E+00
 7.968750E-01  2.381044E-05 -2.843292E-03  1.186961E-01  0.000000E+00  0.000000E+00  1.119121E+00  1.259351E+00
 8.500000E-01  2.381293E-05 -2.972635E-03  9.193072E-02  0.000000E+00  0.000000E+00  1.111679E+00  1.371763E+00
