 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.907179E-03  0.000000E+00  1.476769E-01  0.000000E+00
 1.062500E-01  4.089208E-03  3.545675E-04  7.400424E-02  8.191969E-03
 1.593750E-01  2.650009E-03  7.530879E-03  5.098465E-02  1.246151E-01
 2.125000E-01  2.032857E-03  3.172367E-02  4.069690E-02  3.345356E-01
 2.656250E-01  1.715666E-03  3.400218E-02  3.525446E-02  5.143155E-01
 3.187500E-01  1.557208E-03  3.469105E-02  3.247174E-02  7.427701E-01
 3.718750E-01  1.511296E-03  4.934237E-02  3.167606E-02  1.046434E+00
 4.250000E-01  1.564555E-03  1.027158E-01  3.267046E-02  1.394976E+00
 4.781250E-01  1.711008E-03  1.947477E-01  3.514556E-02  1.878949E+00
 5.312500E-01  1.973942E-03  1.785218E-01  3.920962E-02  2.662320E+00
 5.843750E-01  2.425470E-03  4.074590E-02  4.580118E-02  3.821347E+00
 6.375000E-01  3.217327E-03 -2.271069E-01  5.646251E-02  4.658692E+00
 6.906250E-01  4.704429E-03 -6.046410E-01  7.417662E-02  5.139970E+00
 7.437500E-01  7.735011E-03 -8.673564E-01  1.056790E-01  5.753994E+00
 7.968750E-01  1.434873E-02 -1.329776E+00  1.667517E-01  6.797263E+00
 8.500000E-01  3.023501E-02 -1.655138E+00  3.006398E-01  8.547132E+00
 r/a           Di_neo        Di_tur        chii_neo      chii_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  1.418301E-01  0.000000E+00  1.248135E-01  0.000000E+00
 1.062500E-01  3.434010E-03  4.523353E-04  6.430674E-02  1.148611E-02
 1.593750E-01  2.305581E-03  9.537977E-03  4.642577E-02  1.497154E-01
 2.125000E-01  1.938815E-03  4.437145E-03  3.745311E-02  3.084814E-01
 2.656250E-01  1.663017E-03 -1.559815E-02  3.260619E-02  5.761962E-01
 3.187500E-01  1.489477E-03  1.243321E-02  3.044084E-02  9.193006E-01
 3.718750E-01  1.444458E-03  2.677801E-02  2.992391E-02  1.297726E+00
 4.250000E-01  1.502841E-03  3.270022E-02  3.097400E-02  1.573626E+00
 4.781250E-01  1.649855E-03  1.233739E-01  3.352101E-02  2.001191E+00
 5.312500E-01  1.927422E-03  5.021471E-02  3.751683E-02  3.215356E+00
 5.843750E-01  2.401302E-03 -1.415437E-01  4.409743E-02  4.392877E+00
 6.375000E-01  3.207187E-03 -3.897335E-01  5.481131E-02  4.931982E+00
 6.906250E-01  4.963241E-03 -1.066354E+00  7.232390E-02  5.318239E+00
 7.437500E-01  7.310555E-03 -5.869605E-01  1.026565E-01  5.815370E+00
 7.968750E-01  1.167554E-02  2.894905E-01  1.617204E-01  7.202561E+00
 8.500000E-01  3.360311E-02 -3.014071E+00  2.974784E-01  1.283138E+01
