 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  2.181047E-03  0.000000E+00  5.841498E-03  0.000000E+00
 1.062500E-01  1.907787E-03  1.654206E-04  4.970274E-03  8.313993E-04
 1.593750E-01  1.755941E-03  4.990088E-03  4.596355E-03  2.992292E-02
 2.125000E-01  1.700456E-03  2.653639E-02  4.510392E-03  1.571891E-01
 2.656250E-01  1.692934E-03  3.355167E-02  4.558739E-03  3.021870E-01
 3.187500E-01  1.723825E-03  3.840288E-02  4.714392E-03  5.955007E-01
 3.718750E-01  1.803156E-03  5.887133E-02  4.994639E-03  1.151854E+00
 4.250000E-01  1.927671E-03  1.265551E-01  5.374183E-03  2.017567E+00
 4.781250E-01  2.066818E-03  2.352462E-01  5.800974E-03  2.974617E+00
 5.312500E-01  2.224460E-03  2.011785E-01  6.429379E-03  4.266373E+00
 5.843750E-01  2.533963E-03  4.256849E-02  7.589412E-03  5.855606E+00
 6.375000E-01  3.171853E-03 -2.238970E-01  9.854080E-03  8.305291E+00
 6.906250E-01  4.503065E-03 -5.787605E-01  1.446730E-02  1.220122E+01
 7.437500E-01  7.550934E-03 -8.467151E-01  2.452732E-02  1.758840E+01
 7.968750E-01  1.526873E-02 -1.415037E+00  4.873829E-02  2.852627E+01
 8.500000E-01  3.814042E-02 -2.087899E+00  1.180954E-01  4.643384E+01
 r/a           pflux_e_neo   pflux_e_tur   eflux_e_neo   eflux_e_tur
               (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  8.499956E-04  0.000000E+00  3.006108E-03  0.000000E+00
 1.062500E-01  1.602109E-03  2.110334E-04  4.184126E-03  1.140949E-03
 1.593750E-01  2.115238E-03  8.750544E-03  6.258906E-03  3.506899E-01
 2.125000E-01  1.312836E-03  3.004537E-03  3.767418E-03  1.328615E-01
 2.656250E-01  1.185697E-03 -1.112117E-02  3.656905E-03  2.760333E-01
 3.187500E-01  1.390212E-03  1.160461E-02  4.093420E-03  6.170967E-01
 3.718750E-01  1.557869E-03  2.888046E-02  4.511923E-03  1.165263E+00
 4.250000E-01  1.669659E-03  3.633000E-02  4.872653E-03  1.822933E+00
 4.781250E-01  1.859544E-03  1.390542E-01  5.377743E-03  2.761453E+00
 5.312500E-01  1.923529E-03  5.011327E-02  5.863189E-03  4.076619E+00
 5.843750E-01  2.188172E-03 -1.289809E-01  6.950876E-03  5.771077E+00
 6.375000E-01  2.869516E-03 -3.487001E-01  9.272620E-03  8.390722E+00
 6.906250E-01  3.757749E-03 -8.073532E-01  1.316670E-02  1.175913E+01
 7.437500E-01  7.136579E-03 -5.729921E-01  2.227560E-02  1.433356E+01
 7.968750E-01  1.917472E-02  4.754297E-01  5.565743E-02  3.402097E+01
 8.500000E-01  4.238917E-02 -3.802147E+00  1.335680E-01  6.443081E+01
