 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  5.034335E-02  6.571732E-02  5.841498E-03  3.030043E-02  2.181047E-03  0.000000E+00
 1.062500E-01  5.314552E-02  1.421548E-01  5.801673E-03  6.638683E-02  2.073207E-03  0.000000E+00
 1.593750E-01  1.611506E-01  2.402988E-01  3.451927E-02  1.144719E-01  6.746028E-03  0.000000E+00
 2.125000E-01  4.363618E-01  3.783119E-01  1.616995E-01  1.855206E-01  2.823685E-02  0.000000E+00
 2.656250E-01  7.550435E-01  5.805994E-01  3.067457E-01  2.963031E-01  3.524460E-02  0.000000E+00
 3.187500E-01  1.192892E+00  8.904333E-01  6.002151E-01  4.791800E-01  4.012671E-02  0.000000E+00
 3.718750E-01  1.757353E+00  1.381138E+00  1.156848E+00  7.949429E-01  6.067448E-02  0.000000E+00
 4.250000E-01  2.302461E+00  2.153233E+00  2.022941E+00  1.341904E+00  1.284827E-01  0.000000E+00
 4.781250E-01  2.976991E+00  3.322102E+00  2.980418E+00  2.260574E+00  2.373130E-01  0.000000E+00
 5.312500E-01  4.094105E+00  5.086251E+00  4.272803E+00  3.793514E+00  2.034029E-01  0.000000E+00
 5.843750E-01  5.838235E+00  7.730873E+00  5.863195E+00  6.308251E+00  4.510245E-02  0.000000E+00
 6.375000E-01  7.433216E+00  1.193490E+01  8.315145E+00  1.059719E+01 -2.207251E-01  0.000000E+00
 6.906250E-01  9.242303E+00  1.910220E+01  1.221569E+01  1.836515E+01 -5.742574E-01  0.000000E+00
 7.437500E-01  1.277176E+01  3.286990E+01  1.761293E+01  3.414048E+01 -8.391641E-01  0.000000E+00
 7.968750E-01  2.019911E+01  6.283771E+01  2.857501E+01  7.071148E+01 -1.399768E+00  0.000000E+00
 8.500000E-01  3.777465E+01  1.398681E+02  4.655194E+01  1.725912E+02 -2.049759E+00  0.000000E+00
 r/a           eflux_i_tot   eflux_i_targeteflux_e_tot   eflux_e_targetpflux_e_tot   pflux_e_target
               (GB)          (GB)          (GB)          (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  4.099818E-02  5.670741E-02  3.006108E-03  2.614621E-02  8.499956E-04  0.000000E+00
 1.062500E-01  4.722058E-02  1.218346E-01  5.325075E-03  5.689722E-02  1.813143E-03  0.000000E+00
 1.593750E-01  1.781303E-01  2.215417E-01  3.569488E-01  1.055365E-01  1.086578E-02  0.000000E+00
 2.125000E-01  4.088856E-01  3.734778E-01  1.366290E-01  1.831500E-01  4.317373E-03  0.000000E+00
 2.656250E-01  8.503257E-01  5.663891E-01  2.796902E-01  2.890510E-01 -9.935468E-03  0.000000E+00
 3.187500E-01  1.485990E+00  8.575184E-01  6.211902E-01  4.614671E-01  1.299483E-02  0.000000E+00
 3.718750E-01  2.201228E+00  1.318046E+00  1.169775E+00  7.586292E-01  3.043833E-02  0.000000E+00
 4.250000E-01  2.632402E+00  2.036712E+00  1.827806E+00  1.269288E+00  3.799966E-02  0.000000E+00
 4.781250E-01  3.218567E+00  3.123409E+00  2.766830E+00  2.125371E+00  1.409138E-01  0.000000E+00
 5.312500E-01  5.014370E+00  4.757930E+00  4.082483E+00  3.548640E+00  5.203680E-02  0.000000E+00
 5.843750E-01  6.815167E+00  7.191547E+00  5.778028E+00  5.868171E+00 -1.267927E-01  0.000000E+00
 6.375000E-01  8.001466E+00  1.106271E+01  8.399994E+00  9.822754E+00 -3.458306E-01  0.000000E+00
 6.906250E-01  9.731069E+00  1.763448E+01  1.177230E+01  1.695406E+01 -8.035954E-01  0.000000E+00
 7.437500E-01  1.299128E+01  2.942377E+01  1.435583E+01  3.056114E+01 -5.658555E-01  0.000000E+00
 7.968750E-01  2.271096E+01  5.657735E+01  3.407662E+01  6.366667E+01  4.946045E-01  0.000000E+00
 8.500000E-01  7.362932E+01  1.398681E+02  6.456437E+01  1.725912E+02 -3.759758E+00  0.000000E+00
