 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.208727E-01
 5.312500E-02  2.448639E-01  2.448639E-01  4.583778E-01  4.422263E-01  6.939790E-01 -8.744101E-04 -6.560749E-02
 1.062500E-01  4.665418E-01  4.665418E-01  8.703091E-01  8.474729E-01  1.323749E+00  1.705937E-02  6.594653E-01
 1.593750E-01  6.626169E-01  6.626169E-01  1.236759E+00  1.217846E+00  1.888519E+00  3.356997E-02  8.941601E-01
 2.125000E-01  8.364855E-01  8.364855E-01  1.568237E+00  1.567750E+00  2.404443E+00  4.882662E-02  1.002172E+00
 2.656250E-01  9.867503E-01  9.867503E-01  1.851214E+00  1.891252E+00  2.860946E+00  6.406569E-02  1.069645E+00
 3.187500E-01  1.106997E+00  1.106997E+00  2.065367E+00  2.177985E+00  3.236901E+00  7.049215E-02  9.911413E-01
 3.718750E-01  1.193119E+00  1.193119E+00  2.168375E+00  2.405436E+00  3.496824E+00  6.762301E-02  8.246410E-01
 4.250000E-01  1.232090E+00  1.232090E+00  2.108660E+00  2.524488E+00  3.576369E+00  5.841412E-02  6.359405E-01
 4.781250E-01  1.207953E+00  1.207953E+00  1.981308E+00  2.538870E+00  3.501623E+00  4.992800E-02  4.981121E-01
 5.312500E-01  1.126913E+00  1.126913E+00  1.866600E+00  2.582460E+00  3.388603E+00  4.171064E-02  3.900339E-01
 5.843750E-01  1.044731E+00  1.044731E+00  1.781841E+00  2.680284E+00  3.312935E+00  3.655804E-02  3.280346E-01
 6.375000E-01  9.858661E-01  9.858661E-01  1.763669E+00  2.894588E+00  3.346689E+00  3.873639E-02  3.415419E-01
 6.906250E-01  9.571968E-01  9.571968E-01  1.852756E+00  3.303078E+00  3.551159E+00  4.912483E-02  4.352583E-01
 7.437500E-01  9.762020E-01  9.762020E-01  2.088107E+00  3.929930E+00  3.965477E+00  6.441947E-02  5.864707E-01
 7.968750E-01  1.064117E+00  1.064117E+00  2.489331E+00  4.810498E+00  4.625495E+00  7.668971E-02  7.351663E-01
 8.500000E-01  1.261466E+00  1.261466E+00  3.188960E+00  6.135964E+00  5.710472E+00  8.809266E-02  9.159763E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.054637E-01
 5.312500E-02  5.993054E-03  5.993054E-03  4.583778E-01  4.422263E-01  4.549619E-01 -8.421860E-04 -6.318970E-02
 1.062500E-01  4.665418E-01  4.665418E-01  8.703091E-01  8.474729E-01  1.323542E+00  1.642954E-02  6.351179E-01
 1.593750E-01  9.174424E-01  9.174424E-01  1.236759E+00  2.217846E+00  2.719892E+00  3.276207E-02  8.726411E-01
 2.125000E-01  6.771331E-01  6.771331E-01  1.568237E+00  1.567750E+00  2.245093E+00  4.828506E-02  9.910561E-01
 2.656250E-01  7.129798E-01  7.129798E-01  1.851214E+00  1.891252E+00  2.587014E+00  6.335187E-02  1.057727E+00
 3.187500E-01  9.333559E-01  9.333559E-01  2.065367E+00  2.177985E+00  3.062800E+00  6.969561E-02  9.799417E-01
 3.718750E-01  1.078514E+00  1.078514E+00  2.168375E+00  2.405436E+00  3.381231E+00  6.684250E-02  8.151230E-01
 4.250000E-01  1.111002E+00  1.111002E+00  2.108660E+00  2.524488E+00  3.453536E+00  5.771344E-02  6.283124E-01
 4.781250E-01  1.127096E+00  1.127096E+00  1.981308E+00  2.538870E+00  3.418440E+00  4.932683E-02  4.921145E-01
 5.312500E-01  9.979799E-01  9.979799E-01  1.866600E+00  2.582460E+00  3.256651E+00  4.121367E-02  3.853868E-01
 5.843750E-01  9.112440E-01  9.112440E-01  1.781841E+00  2.680284E+00  3.175593E+00  3.613149E-02  3.242072E-01
 6.375000E-01  8.947144E-01  8.947144E-01  1.763669E+00  2.894588E+00  3.250559E+00  3.830156E-02  3.377079E-01
 6.906250E-01  7.571158E-01  7.571158E-01  1.852756E+00  3.303078E+00  3.344460E+00  4.860711E-02  4.306712E-01
 7.437500E-01  9.762020E-01  9.762020E-01  2.088107E+00  3.499613E+00  3.752416E+00  6.341268E-02  5.773050E-01
 7.968750E-01  1.642298E+00  1.642298E+00  2.653029E+00  5.024566E+00  5.392032E+00  7.533918E-02  7.222197E-01
 8.500000E-01  1.261466E+00  1.261466E+00  4.188960E+00  7.135964E+00  6.710472E+00  8.809266E-02  9.159763E-01
