 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  3.411700E+13  3.411700E+13  1.941400E+00  2.609200E+00  7.440595E-01  5.010906E-03  4.708609E-01
 5.312500E-02  3.388736E+13  3.388736E+13  1.916881E+00  2.577443E+00  7.437142E-01  5.007840E-03  4.942233E-01
 1.062500E-01  3.324972E+13  3.324972E+13  1.850084E+00  2.490292E+00  7.429187E-01  4.666150E-03  4.701240E-01
 1.593750E-01  3.226467E+13  3.226467E+13  1.749153E+00  2.357246E+00  7.420327E-01  4.240974E-03  4.420497E-01
 2.125000E-01  3.100022E+13  3.100022E+13  1.623081E+00  2.188799E+00  7.415398E-01  3.726783E-03  4.067145E-01
 2.656250E-01  2.952995E+13  2.952995E+13  1.481668E+00  1.996451E+00  7.421510E-01  3.199536E-03  3.683440E-01
 3.187500E-01  2.792677E+13  2.792677E+13  1.334579E+00  1.791338E+00  7.450179E-01  2.688438E-03  3.316477E-01
 3.718750E-01  2.626611E+13  2.626611E+13  1.191659E+00  1.585224E+00  7.517292E-01  2.206822E-03  3.016273E-01
 4.250000E-01  2.461944E+13  2.461944E+13  1.062640E+00  1.389380E+00  7.648299E-01  1.782988E-03  2.819788E-01
 4.781250E-01  2.306414E+13  2.306414E+13  9.533067E-01  1.214424E+00  7.849868E-01  1.431720E-03  2.703612E-01
 5.312500E-01  2.167452E+13  2.167452E+13  8.607951E-01  1.060234E+00  8.118916E-01  1.140671E-03  2.643633E-01
 5.843750E-01  2.046237E+13  2.046237E+13  7.815012E-01  9.223761E-01  8.472696E-01  9.063772E-04  2.637143E-01
 6.375000E-01  1.939098E+13  1.939098E+13  7.116215E-01  7.961324E-01  8.938482E-01  7.076834E-04  2.652939E-01
 6.906250E-01  1.841931E+13  1.841931E+13  6.469503E-01  6.762267E-01  9.567063E-01  5.388612E-04  2.666333E-01
 7.437500E-01  1.750241E+13  1.750241E+13  5.831252E-01  5.586466E-01  1.043818E+00  3.922865E-04  2.644573E-01
 7.968750E-01  1.658782E+13  1.658782E+13  5.169426E-01  4.436620E-01  1.165172E+00  2.669383E-04  2.589682E-01
 8.500000E-01  1.560588E+13  1.560588E+13  4.455731E-01  3.328139E-01  1.338805E+00  1.644959E-04  2.514444E-01
 r/a           ni            ne            ti            te            ti/te         betae_unit    M=wR/cs
               (1/cm^3)      (1/cm^3)      (keV)         (keV)                                     
 0.000000E+00  3.255451E+13  3.255451E+13  2.015443E+00  2.811285E+00  7.169116E-01  5.151742E-03  4.674454E-01
 5.312500E-02  3.254933E+13  3.254933E+13  1.991052E+00  2.778455E+00  7.166041E-01  5.185242E-03  4.609516E-01
 1.062500E-01  3.214333E+13  3.214333E+13  1.922007E+00  2.684884E+00  7.158624E-01  4.863365E-03  4.534866E-01
 1.593750E-01  3.098313E+13  3.098313E+13  1.817389E+00  2.474937E+00  7.343175E-01  4.275855E-03  4.311766E-01
 2.125000E-01  2.969822E+13  2.969822E+13  1.686901E+00  2.238173E+00  7.536957E-01  3.650797E-03  4.022256E-01
 2.656250E-01  2.862161E+13  2.862161E+13  1.540434E+00  2.041695E+00  7.544879E-01  3.171396E-03  3.649661E-01
 3.187500E-01  2.739694E+13  2.739694E+13  1.388231E+00  1.832518E+00  7.575535E-01  2.698063E-03  3.290478E-01
 3.718750E-01  2.597127E+13  2.597127E+13  1.240570E+00  1.622461E+00  7.646227E-01  2.233306E-03  2.999102E-01
 4.250000E-01  2.450389E+13  2.450389E+13  1.107342E+00  1.423321E+00  7.779987E-01  1.817972E-03  2.799462E-01
 4.781250E-01  2.308961E+13  2.308961E+13  9.933449E-01  1.244206E+00  7.983767E-01  1.468450E-03  2.680613E-01
 5.312500E-01  2.182236E+13  2.182236E+13  8.968314E-01  1.085957E+00  8.258440E-01  1.176315E-03  2.622699E-01
 5.843750E-01  2.074326E+13  2.074326E+13  8.139966E-01  9.442827E-01  8.620263E-01  9.406416E-04  2.612316E-01
 6.375000E-01  1.977168E+13  1.977168E+13  7.408354E-01  8.143116E-01  9.097690E-01  7.380542E-04  2.626110E-01
 6.906250E-01  1.892292E+13  1.892292E+13  6.729811E-01  6.907083E-01  9.743347E-01  5.654499E-04  2.634853E-01
 7.437500E-01  1.807144E+13  1.807144E+13  6.060958E-01  5.765264E-01  1.051289E+00  4.180039E-04  2.600404E-01
 7.968750E-01  1.685722E+13  1.685722E+13  5.343770E-01  4.597108E-01  1.162420E+00  2.810865E-04  2.543222E-01
 8.500000E-01  1.560588E+13  1.560588E+13  4.455731E-01  3.328139E-01  1.338805E+00  1.644959E-04  2.514444E-01
