 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00  1.378200E+00  0.000000E+00  1.274114E+00 -0.000000E+00  1.094450E-03  0.000000E+00 -8.449727E-04  2.854074E+00  2.674603E+00
 5.312500E-02  4.689964E-02  1.396880E+00  2.374294E-02  1.272763E+00  4.163511E-04  1.042084E-02  1.127841E-02 -2.058161E-02  2.853502E+00  2.650126E+00
 1.062500E-01  9.348041E-02  1.440208E+00  6.917566E-02  1.275824E+00  6.423505E-03  2.140702E-02  2.211960E-02 -3.947055E-02  2.851891E+00  2.673118E+00
 1.593750E-01  1.405122E-01  1.489828E+00  9.656162E-02  1.280156E+00  1.024554E-02  3.249261E-02  3.324003E-02 -5.457104E-02  2.849368E+00  2.687271E+00
 2.125000E-01  1.878642E-01  1.532449E+00  9.054207E-02  1.284342E+00  1.167861E-02  4.346782E-02  4.332886E-02 -6.549906E-02  2.846154E+00  2.707675E+00
 2.656250E-01  2.353495E-01  1.560228E+00  7.028503E-02  1.287605E+00  1.086071E-02  5.409624E-02  5.202113E-02 -7.269255E-02  2.842463E+00  2.723927E+00
 3.187500E-01  2.830292E-01  1.578923E+00  6.896468E-02  1.289993E+00  9.813161E-03  6.430606E-02  6.022536E-02 -7.722524E-02  2.838468E+00  2.737332E+00
 3.718750E-01  3.308591E-01  1.600016E+00  1.166106E-01  1.291996E+00  1.108555E-02  7.421720E-02  6.920780E-02 -8.008806E-02  2.834282E+00  2.756372E+00
 4.250000E-01  3.789696E-01  1.634952E+00  2.159861E-01  1.294325E+00  1.693392E-02  8.418507E-02  8.104507E-02 -8.184473E-02  2.829974E+00  2.779417E+00
 4.781250E-01  4.273950E-01  1.688164E+00  3.319557E-01  1.297551E+00  2.608096E-02  9.458582E-02  9.657478E-02 -8.308756E-02  2.825594E+00  2.806745E+00
 5.312500E-01  4.762843E-01  1.760879E+00  4.854299E-01  1.301914E+00  3.866429E-02  1.057156E-01  1.162207E-01 -8.462911E-02  2.821142E+00  2.848221E+00
 5.843750E-01  5.257688E-01  1.861678E+00  6.966000E-01  1.307740E+00  5.667690E-02  1.179050E-01  1.414474E-01 -8.683823E-02  2.816592E+00  2.895715E+00
 6.375000E-01  5.760326E-01  1.998961E+00  9.481663E-01  1.315555E+00  8.228828E-02  1.316694E-01  1.779009E-01 -8.978016E-02  2.811905E+00  2.963816E+00
 6.906250E-01  6.273910E-01  2.179918E+00  1.231926E+00  1.325961E+00  1.172110E-01  1.477684E-01  2.284169E-01 -9.377424E-02  2.807037E+00  3.050863E+00
 7.437500E-01  6.801535E-01  2.416575E+00  1.572865E+00  1.339734E+00  1.655190E-01  1.669502E-01  2.940075E-01 -9.914177E-02  2.801921E+00  3.168065E+00
 7.968750E-01  7.348795E-01  2.731663E+00  2.015420E+00  1.358091E+00  2.357155E-01  1.905222E-01  4.011343E-01 -1.060780E-01  2.796479E+00  3.331913E+00
 8.500000E-01  7.923292E-01  3.167100E+00  2.627686E+00  1.383335E+00  3.475291E-01  2.210817E-01  5.656740E-01 -1.146603E-01  2.790626E+00  3.565707E+00
 r/a           rho           q             s             kappa         s_kappa       delta         s_delta       shift         rmaj/a        b_unit
                                                                                                                                             (T)
 0.000000E+00  0.000000E+00  1.378200E+00  0.000000E+00  1.274114E+00 -0.000000E+00  1.094450E-03  0.000000E+00 -8.449727E-04  2.854074E+00  2.674603E+00
 5.312500E-02  4.689964E-02  1.396880E+00  2.374294E-02  1.272763E+00  4.163511E-04  1.042084E-02  1.127841E-02 -2.058161E-02  2.853502E+00  2.650126E+00
 1.062500E-01  9.348041E-02  1.440208E+00  6.917566E-02  1.275824E+00  6.423505E-03  2.140702E-02  2.211960E-02 -3.947055E-02  2.851891E+00  2.673118E+00
 1.593750E-01  1.405122E-01  1.489828E+00  9.656162E-02  1.280156E+00  1.024554E-02  3.249261E-02  3.324003E-02 -5.457104E-02  2.849368E+00  2.687271E+00
 2.125000E-01  1.878642E-01  1.532449E+00  9.054207E-02  1.284342E+00  1.167861E-02  4.346782E-02  4.332886E-02 -6.549906E-02  2.846154E+00  2.707675E+00
 2.656250E-01  2.353495E-01  1.560228E+00  7.028503E-02  1.287605E+00  1.086071E-02  5.409624E-02  5.202113E-02 -7.269255E-02  2.842463E+00  2.723927E+00
 3.187500E-01  2.830292E-01  1.578923E+00  6.896468E-02  1.289993E+00  9.813161E-03  6.430606E-02  6.022536E-02 -7.722524E-02  2.838468E+00  2.737332E+00
 3.718750E-01  3.308591E-01  1.600016E+00  1.166106E-01  1.291996E+00  1.108555E-02  7.421720E-02  6.920780E-02 -8.008806E-02  2.834282E+00  2.756372E+00
 4.250000E-01  3.789696E-01  1.634952E+00  2.159861E-01  1.294325E+00  1.693392E-02  8.418507E-02  8.104507E-02 -8.184473E-02  2.829974E+00  2.779417E+00
 4.781250E-01  4.273950E-01  1.688164E+00  3.319557E-01  1.297551E+00  2.608096E-02  9.458582E-02  9.657478E-02 -8.308756E-02  2.825594E+00  2.806745E+00
 5.312500E-01  4.762843E-01  1.760879E+00  4.854299E-01  1.301914E+00  3.866429E-02  1.057156E-01  1.162207E-01 -8.462911E-02  2.821142E+00  2.848221E+00
 5.843750E-01  5.257688E-01  1.861678E+00  6.966000E-01  1.307740E+00  5.667690E-02  1.179050E-01  1.414474E-01 -8.683823E-02  2.816592E+00  2.895715E+00
 6.375000E-01  5.760326E-01  1.998961E+00  9.481663E-01  1.315555E+00  8.228828E-02  1.316694E-01  1.779009E-01 -8.978016E-02  2.811905E+00  2.963816E+00
 6.906250E-01  6.273910E-01  2.179918E+00  1.231926E+00  1.325961E+00  1.172110E-01  1.477684E-01  2.284169E-01 -9.377424E-02  2.807037E+00  3.050863E+00
 7.437500E-01  6.801535E-01  2.416575E+00  1.572865E+00  1.339734E+00  1.655190E-01  1.669502E-01  2.940075E-01 -9.914177E-02  2.801921E+00  3.168065E+00
 7.968750E-01  7.348795E-01  2.731663E+00  2.015420E+00  1.358091E+00  2.357155E-01  1.905222E-01  4.011343E-01 -1.060780E-01  2.796479E+00  3.331913E+00
 8.500000E-01  7.923292E-01  3.167100E+00  2.627686E+00  1.383335E+00  3.475291E-01  2.210817E-01  5.656740E-01 -1.146603E-01  2.790626E+00  3.565707E+00
