 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288404E-04 -4.523360E-04  5.076626E-04  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  5.284785E-04  6.002320E-04  5.908169E-04 -2.473720E-04  4.361986E-02  2.736246E+00
 1.062500E-01  5.297097E-04  3.069335E-03 -8.559506E-05 -1.160512E-03  1.744751E-01  5.490546E+00
 1.593750E-01  5.316517E-04  4.490932E-03 -3.458402E-04 -7.010786E-04  3.933653E-01  8.260053E+00
 2.125000E-01  5.344116E-04  5.765539E-03 -6.865471E-04 -1.228953E-03  7.003680E-01  1.102130E+01
 2.656250E-01  5.378012E-04  6.896315E-03 -9.532979E-04 -1.418723E-03  1.094897E+00  1.375687E+01
 3.187500E-01  5.416901E-04  7.765654E-03 -1.277391E-03 -2.382120E-03  1.576003E+00  1.646258E+01
 3.718750E-01  5.460169E-04  8.542169E-03 -1.752171E-03 -3.744687E-03  2.143038E+00  1.916078E+01
 4.250000E-01  5.508234E-04  9.532121E-03 -2.397340E-03 -6.197943E-03  2.796340E+00  2.188606E+01
 4.781250E-01  5.561609E-04  1.067258E-02 -3.252151E-03 -8.122787E-03  3.537080E+00  2.465535E+01
 5.312500E-01  5.622695E-04  1.244974E-02 -4.209319E-03 -1.003692E-02  4.366867E+00  2.748421E+01
 5.843750E-01  5.694814E-04  1.494854E-02 -5.290975E-03 -1.296117E-02  5.288117E+00  3.041016E+01
 6.375000E-01  5.783422E-04  1.873757E-02 -6.537203E-03 -1.565009E-02  6.304903E+00  3.349738E+01
 6.906250E-01  5.897054E-04  2.462853E-02 -7.870377E-03 -1.764550E-02  7.423365E+00  3.681101E+01
 7.437500E-01  6.050530E-04  3.417346E-02 -9.352592E-03 -2.303082E-02  8.651796E+00  4.042625E+01
 7.968750E-01  6.270351E-04  5.059287E-02 -1.098402E-02 -2.329273E-02  1.000313E+01  4.460101E+01
 8.500000E-01  6.610329E-04  8.199276E-02 -1.264421E-02 -2.773273E-02  1.150051E+01  4.971419E+01
 r/a           zmag/a        dzmag         zeta          s_zeta        volume        d(vol)/dr
                                                                       m^3           m^2
 0.000000E+00  5.288404E-04 -4.523360E-04  5.076626E-04  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  5.284785E-04  6.002320E-04  5.908169E-04 -2.473720E-04  4.361986E-02  2.736246E+00
 1.062500E-01  5.297097E-04  3.069335E-03 -8.559506E-05 -1.160512E-03  1.744751E-01  5.490546E+00
 1.593750E-01  5.316517E-04  4.490932E-03 -3.458402E-04 -7.010786E-04  3.933653E-01  8.260053E+00
 2.125000E-01  5.344116E-04  5.765539E-03 -6.865471E-04 -1.228953E-03  7.003680E-01  1.102130E+01
 2.656250E-01  5.378012E-04  6.896315E-03 -9.532979E-04 -1.418723E-03  1.094897E+00  1.375687E+01
 3.187500E-01  5.416901E-04  7.765654E-03 -1.277391E-03 -2.382120E-03  1.576003E+00  1.646258E+01
 3.718750E-01  5.460169E-04  8.542169E-03 -1.752171E-03 -3.744687E-03  2.143038E+00  1.916078E+01
 4.250000E-01  5.508234E-04  9.532121E-03 -2.397340E-03 -6.197943E-03  2.796340E+00  2.188606E+01
 4.781250E-01  5.561609E-04  1.067258E-02 -3.252151E-03 -8.122787E-03  3.537080E+00  2.465535E+01
 5.312500E-01  5.622695E-04  1.244974E-02 -4.209319E-03 -1.003692E-02  4.366867E+00  2.748421E+01
 5.843750E-01  5.694814E-04  1.494854E-02 -5.290975E-03 -1.296117E-02  5.288117E+00  3.041016E+01
 6.375000E-01  5.783422E-04  1.873757E-02 -6.537203E-03 -1.565009E-02  6.304903E+00  3.349738E+01
 6.906250E-01  5.897054E-04  2.462853E-02 -7.870377E-03 -1.764550E-02  7.423365E+00  3.681101E+01
 7.437500E-01  6.050530E-04  3.417346E-02 -9.352592E-03 -2.303082E-02  8.651796E+00  4.042625E+01
 7.968750E-01  6.270351E-04  5.059287E-02 -1.098402E-02 -2.329273E-02  1.000313E+01  4.460101E+01
 8.500000E-01  6.610329E-04  8.199276E-02 -1.264421E-02 -2.773273E-02  1.150051E+01  4.971419E+01
