 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00 -9.898246E-07  0.000000E+00
 1.593750E-01  0.000000E+00 -3.738447E-05  0.000000E+00
 2.125000E-01  0.000000E+00 -3.881749E-04  0.000000E+00
 2.656250E-01  0.000000E+00 -8.119515E-04  0.000000E+00
 3.187500E-01  0.000000E+00 -1.599227E-03  0.000000E+00
 3.718750E-01  0.000000E+00 -2.657836E-03  0.000000E+00
 4.250000E-01  0.000000E+00 -3.486208E-03  0.000000E+00
 4.781250E-01  0.000000E+00 -4.403986E-03  0.000000E+00
 5.312500E-01  0.000000E+00 -4.999316E-03  0.000000E+00
 5.843750E-01  0.000000E+00 -5.935182E-03  0.000000E+00
 6.375000E-01  0.000000E+00 -7.771853E-03  0.000000E+00
 6.906250E-01  0.000000E+00 -1.179021E-02  0.000000E+00
 7.437500E-01  0.000000E+00 -1.718407E-02  0.000000E+00
 7.968750E-01  0.000000E+00 -2.260782E-02  0.000000E+00
 8.500000E-01  0.000000E+00 -3.146275E-02  0.000000E+00
 r/a           mflux_e_neo   mflux_e_tur   expwd_e_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00 -9.593877E-07  0.000000E+00
 1.593750E-01  0.000000E+00 -3.625474E-05  0.000000E+00
 2.125000E-01  0.000000E+00 -3.348632E-04  0.000000E+00
 2.656250E-01  0.000000E+00 -6.291378E-04  0.000000E+00
 3.187500E-01  0.000000E+00 -1.441738E-03  0.000000E+00
 3.718750E-01  0.000000E+00 -1.273476E-03  0.000000E+00
 4.250000E-01  0.000000E+00 -3.521912E-03  0.000000E+00
 4.781250E-01  0.000000E+00 -4.410658E-03  0.000000E+00
 5.312500E-01  0.000000E+00 -4.994888E-03  0.000000E+00
 5.843750E-01  0.000000E+00 -5.883102E-03  0.000000E+00
 6.375000E-01  0.000000E+00 -7.818105E-03  0.000000E+00
 6.906250E-01  0.000000E+00 -1.195679E-02  0.000000E+00
 7.437500E-01  0.000000E+00 -1.675985E-02  0.000000E+00
 7.968750E-01  0.000000E+00 -2.135241E-02  0.000000E+00
 8.500000E-01  0.000000E+00 -3.821357E-02  0.000000E+00
