 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  4.100949E-03  0.000000E+00
 1.593750E-01  0.000000E+00  7.128525E-02  0.000000E+00
 2.125000E-01  0.000000E+00  2.892523E-01  0.000000E+00
 2.656250E-01  0.000000E+00  5.476691E-01  0.000000E+00
 3.187500E-01  0.000000E+00  8.314607E-01  0.000000E+00
 3.718750E-01  0.000000E+00  1.020297E+00  0.000000E+00
 4.250000E-01  0.000000E+00  1.009630E+00  0.000000E+00
 4.781250E-01  0.000000E+00  9.670703E-01  0.000000E+00
 5.312500E-01  0.000000E+00  1.004375E+00  0.000000E+00
 5.843750E-01  0.000000E+00  6.416143E-01  0.000000E+00
 6.375000E-01  0.000000E+00  6.318396E-01  0.000000E+00
 6.906250E-01  0.000000E+00  1.175181E+00  0.000000E+00
 7.437500E-01  0.000000E+00  2.026214E+00  0.000000E+00
 7.968750E-01  0.000000E+00  2.984887E+00  0.000000E+00
 8.500000E-01  0.000000E+00  5.577559E+00  0.000000E+00
 r/a           mflux_i_neo   mflux_i_tur   expwd_i_tur
               (GB)          (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00  0.000000E+00
 1.062500E-01  0.000000E+00  3.595226E-03  0.000000E+00
 1.593750E-01  0.000000E+00  6.791241E-02  0.000000E+00
 2.125000E-01  0.000000E+00  2.514309E-01  0.000000E+00
 2.656250E-01  0.000000E+00  5.076876E-01  0.000000E+00
 3.187500E-01  0.000000E+00  7.361122E-01  0.000000E+00
 3.718750E-01  0.000000E+00  6.447239E-01  0.000000E+00
 4.250000E-01  0.000000E+00  9.901400E-01  0.000000E+00
 4.781250E-01  0.000000E+00  8.224159E-01  0.000000E+00
 5.312500E-01  0.000000E+00  5.766633E-01  0.000000E+00
 5.843750E-01  0.000000E+00  9.841573E-02  0.000000E+00
 6.375000E-01  0.000000E+00  6.902193E-01  0.000000E+00
 6.906250E-01  0.000000E+00  7.935993E-01  0.000000E+00
 7.437500E-01  0.000000E+00  1.765297E+00  0.000000E+00
 7.968750E-01  0.000000E+00  2.549787E+00  0.000000E+00
 8.500000E-01  0.000000E+00  7.859712E+00  0.000000E+00
