 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  4.099960E-03  0.000000E+00
 1.593750E-01  7.124787E-02  0.000000E+00
 2.125000E-01  2.888641E-01  0.000000E+00
 2.656250E-01  5.468571E-01  0.000000E+00
 3.187500E-01  8.298615E-01  0.000000E+00
 3.718750E-01  1.017639E+00  0.000000E+00
 4.250000E-01  1.006144E+00  0.000000E+00
 4.781250E-01  9.626663E-01  0.000000E+00
 5.312500E-01  9.993758E-01  0.000000E+00
 5.843750E-01  6.356791E-01  0.000000E+00
 6.375000E-01  6.240678E-01  0.000000E+00
 6.906250E-01  1.163391E+00  0.000000E+00
 7.437500E-01  2.009030E+00  0.000000E+00
 7.968750E-01  2.962280E+00  0.000000E+00
 8.500000E-01  5.546097E+00  0.000000E+00
 r/a           mflux_tot     mflux_target
               (GB)          (GB)
 0.000000E+00  0.000000E+00  0.000000E+00
 5.312500E-02  0.000000E+00  0.000000E+00
 1.062500E-01  3.594266E-03  0.000000E+00
 1.593750E-01  6.787616E-02  0.000000E+00
 2.125000E-01  2.510960E-01  0.000000E+00
 2.656250E-01  5.070585E-01  0.000000E+00
 3.187500E-01  7.346704E-01  0.000000E+00
 3.718750E-01  6.434504E-01  0.000000E+00
 4.250000E-01  9.866181E-01  0.000000E+00
 4.781250E-01  8.180053E-01  0.000000E+00
 5.312500E-01  5.716684E-01  0.000000E+00
 5.843750E-01  9.253263E-02  0.000000E+00
 6.375000E-01  6.824012E-01  0.000000E+00
 6.906250E-01  7.816425E-01  0.000000E+00
 7.437500E-01  1.748538E+00  0.000000E+00
 7.968750E-01  2.528435E+00  0.000000E+00
 8.500000E-01  7.821498E+00  0.000000E+00
