 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  7.020559E-04  2.730545E-02  1.118353E-05  3.971970E-03  4.604709E-03
 5.312500E-02  7.147285E-04  2.777899E-02  1.137748E-05  3.983261E-03  4.618870E-03
 1.062500E-01  7.512790E-04  2.915274E-02  1.194013E-05  3.879587E-03  4.501060E-03
 1.593750E-01  8.130963E-04  3.149508E-02  1.289949E-05  3.752409E-03  4.356108E-03
 2.125000E-01  9.039773E-04  3.498045E-02  1.432700E-05  3.587413E-03  4.165951E-03
 2.656250E-01  1.029414E-03  3.988362E-02  1.633520E-05  3.407122E-03  3.954955E-03
 3.187500E-01  1.196245E-03  4.661616E-02  1.909263E-05  3.217751E-03  3.727941E-03
 3.718750E-01  1.409405E-03  5.566653E-02  2.279934E-05  3.019575E-03  3.482693E-03
 4.250000E-01  1.665249E-03  6.749825E-02  2.764511E-05  2.827789E-03  3.233438E-03
 4.781250E-01  1.951126E-03  8.223279E-02  3.367963E-05  2.652290E-03  2.993573E-03
 5.312500E-01  2.271843E-03  1.007144E-01  4.124858E-05  2.483613E-03  2.756354E-03
 5.843750E-01  2.639378E-03  1.247384E-01  5.108711E-05  2.327645E-03  2.528750E-03
 6.375000E-01  3.074287E-03  1.574368E-01  6.447764E-05  2.170106E-03  2.295351E-03
 6.906250E-01  3.622690E-03  2.054307E-01  8.413120E-05  2.010113E-03  2.055092E-03
 7.437500E-01  4.377807E-03  2.829174E-01  1.158607E-04  1.837784E-03  1.798797E-03
 7.968750E-01  5.502566E-03  4.193885E-01  1.717400E-04  1.645263E-03  1.524194E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
 r/a           (a/cs)/t_ii   (a/cs)/t_ee   (a/cs)nu_exch rho_i/a       rho_s/a
 0.000000E+00  5.457308E-04  2.161159E-02  8.851456E-06  4.062315E-03  4.681226E-03
 5.312500E-02  5.585768E-04  2.210608E-02  9.053984E-06  4.074952E-03  4.696795E-03
 1.062500E-01  5.906366E-04  2.333859E-02  9.558784E-06  3.969238E-03  4.577318E-03
 1.593750E-01  6.391586E-04  2.521392E-02  1.032687E-05  3.839371E-03  4.430012E-03
 2.125000E-01  7.136651E-04  2.813135E-02  1.152176E-05  3.671098E-03  4.236944E-03
 2.656250E-01  8.238999E-04  3.252782E-02  1.332242E-05  3.487175E-03  4.022558E-03
 3.187500E-01  9.746866E-04  3.871569E-02  1.585677E-05  3.294208E-03  3.792268E-03
 3.718750E-01  1.185901E-03  4.776628E-02  1.956356E-05  3.092577E-03  3.543656E-03
 4.250000E-01  1.438543E-03  5.946937E-02  2.435664E-05  2.897576E-03  3.291547E-03
 4.781250E-01  1.701441E-03  7.311906E-02  2.994684E-05  2.717657E-03  3.047512E-03
 5.312500E-01  1.998646E-03  9.036180E-02  3.700841E-05  2.544658E-03  2.805660E-03
 5.843750E-01  2.342317E-03  1.129350E-01  4.625277E-05  2.384532E-03  2.573343E-03
 6.375000E-01  2.745001E-03  1.434965E-01  5.876815E-05  2.222579E-03  2.334782E-03
 6.906250E-01  3.258409E-03  1.887860E-01  7.731419E-05  2.057910E-03  2.088945E-03
 7.437500E-01  3.976757E-03  2.627002E-01  1.075806E-04  1.880720E-03  1.827409E-03
 7.968750E-01  5.113109E-03  3.938763E-01  1.612921E-04  1.675938E-03  1.547112E-03
 8.500000E-01  7.340179E-03  6.890472E-01  2.821454E-04  1.427321E-03  1.233567E-03
